Team,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,opp_FG,opp_FGA,opp_FG%,opp_3P,opp_3PA,opp_3P%,opp_2P,opp_2PA,opp_2P%,opp_eFG%,opp_FT,opp_FTA,opp_FT%,opp_ORB,opp_DRB,opp_TRB,opp_AST,opp_STL,opp_BLK,opp_TOV,opp_PF,W,L,PTS,opp_PTS,NRtg,SRS,VORP
Houston Rockets,42.48780487804878,93.40243902439025,0.45512195121951227,12.658536585365853,35.829268292682926,0.3525365853658537,29.829268292682926,57.573170731707314,0.5188048780487805,0.5228536585365853,16.658536585365855,22.573170731707318,0.7403170731707317,14.634146341463415,33.829268292682926,48.46341463414634,23.341463414634145,8.402439024390244,5.012195121951219,13.890243902439025,18.98780487804878,40.51219512195122,88.34146341463415,0.46006097560975623,12.317073170731707,34.548780487804876,0.35973170731707316,28.195121951219512,53.792682926829265,0.5244756097560974,0.5300853658536585,16.4390243902439,21.658536585365855,0.7593780487804878,10.573170731707316,31.573170731707318,42.146341463414636,23.48780487804878,7.939024390243903,5.695121951219512,14.329268292682928,19.23170731707317,52.0,30.0,114.29268292682927,109.78048780487805,3.6,4.5,2.9
Indiana Pacers,43.58536585365854,89.34146341463415,0.4884146341463415,13.182926829268293,35.78048780487805,0.3668170731707317,30.402439024390244,53.5609756097561,0.5710853658536584,0.5622073170731707,17.01219512195122,21.5609756097561,0.790158536585366,9.170731707317072,32.65853658536585,41.829268292682926,29.24390243902439,8.463414634146341,5.463414634146342,13.195121951219512,18.695121951219512,42.59756097560975,89.90243902439025,0.4758658536585366,12.902439024390244,36.31707317073171,0.35701219512195126,29.695121951219512,53.58536585365854,0.5566341463414635,0.5477682926829268,17.036585365853657,22.036585365853657,0.7736219512195122,11.195121951219512,33.84146341463415,45.03658536585366,25.98780487804878,7.170731707317073,4.463414634146342,15.0,18.79268292682927,50.0,32.0,117.36585365853658,115.13414634146342,1.3,0.66,3.4
Los Angeles Clippers,41.573170731707314,86.28048780487805,0.48309756097560974,12.463414634146341,33.390243902439025,0.3772682926829268,29.109756097560975,52.890243902439025,0.5509024390243903,0.5555731707317073,17.26829268292683,21.658536585365855,0.7958414634146344,10.25609756097561,33.53658536585366,43.792682926829265,25.170731707317074,9.426829268292684,4.512195121951219,14.878048780487806,18.329268292682926,39.51219512195122,85.7560975609756,0.4619756097560975,12.975609756097562,37.048780487804876,0.3451585365853659,26.536585365853657,48.707317073170735,0.5473292682926829,0.537609756097561,16.21951219512195,21.01219512195122,0.7696219512195123,9.731707317073171,31.76829268292683,41.5,25.670731707317074,8.817073170731707,4.2926829268292686,15.036585365853659,17.78048780487805,50.0,32.0,112.8780487804878,108.21951219512195,2.1,2.12,2.4
Los Angeles Lakers,40.926829268292686,85.45121951219512,0.47967073170731706,13.317073170731707,36.353658536585364,0.36478048780487804,27.609756097560975,49.09756097560975,0.5647317073170731,0.5577560975609757,18.21951219512195,23.195121951219512,0.7882560975609756,9.658536585365853,32.76829268292683,42.426829268292686,25.98780487804878,7.719512195121951,4.475609756097561,13.963414634146341,17.25609756097561,41.36585365853659,89.2560975609756,0.46396341463414636,13.560975609756097,38.09756097560975,0.35593902439024394,27.804878048780488,51.15853658536585,0.5437682926829268,0.5402804878048779,15.878048780487806,20.48780487804878,0.7729512195121951,11.207317073170731,31.817073170731707,43.02439024390244,27.26829268292683,8.207317073170731,4.195121951219512,13.670731707317072,19.21951219512195,50.0,32.0,113.39024390243902,112.17073170731707,1.7,1.47,3.8
Memphis Grizzlies,44.75609756097561,93.34146341463415,0.4797439024390244,13.914634146341463,37.890243902439025,0.3658170731707317,30.841463414634145,55.451219512195124,0.5584878048780488,0.5544512195121951,18.28048780487805,23.26829268292683,0.7888902439024391,12.878048780487806,34.3780487804878,47.25609756097561,28.414634146341463,8.853658536585366,5.634146341463414,15.670731707317072,20.865853658536587,41.890243902439025,91.8170731707317,0.4575975609756097,14.170731707317072,39.390243902439025,0.3585853658536585,27.71951219512195,52.426829268292686,0.5315853658536585,0.5351097560975611,18.902439024390244,24.548780487804876,0.7734999999999999,11.524390243902438,32.01219512195122,43.53658536585366,27.036585365853657,8.658536585365853,5.487804878048781,15.146341463414634,20.158536585365855,48.0,34.0,121.70731707317073,116.85365853658537,6.1,5.81,2.3
Miami Heat,40.46341463414634,87.04878048780488,0.4658780487804879,13.707317073170731,37.31707317073171,0.3703414634146341,26.75609756097561,49.73170731707317,0.5389024390243902,0.5448902439024391,15.963414634146341,20.170731707317074,0.7962926829268292,9.731707317073171,33.65853658536585,43.390243902439025,26.414634146341463,8.146341463414634,3.8292682926829267,13.585365853658537,15.548780487804878,41.25609756097561,88.5609756097561,0.46665853658536594,13.634146341463415,37.91463414634146,0.3607439024390244,27.621951219512194,50.646341463414636,0.5467317073170732,0.5439268292682926,13.890243902439025,17.902439024390244,0.7747195121951219,10.731707317073171,33.9390243902439,44.670731707317074,26.536585365853657,7.536585365853658,4.658536585365853,13.817073170731707,16.951219512195124,37.0,45.0,110.59756097560975,110.03658536585365,-0.3,-0.8,2.4
Milwaukee Bucks,42.01219512195122,86.36585365853658,0.488609756097561,14.158536585365853,36.6219512195122,0.387780487804878,27.853658536585368,49.74390243902439,0.5628170731707317,0.570768292682927,17.329268292682926,23.109756097560975,0.7462073170731708,8.21951219512195,35.146341463414636,43.36585365853659,25.48780487804878,7.329268292682927,4.682926829268292,13.378048780487806,17.914634146341463,41.63414634146341,91.13414634146342,0.45721951219512186,13.902439024390244,39.41463414634146,0.3515243902439024,27.73170731707317,51.71951219512195,0.5376219512195122,0.5336829268292683,15.865853658536585,20.25609756097561,0.7817195121951219,10.975609756097562,34.292682926829265,45.26829268292683,26.414634146341463,7.341463414634147,3.841463414634146,12.865853658536585,18.926829268292682,48.0,34.0,115.51219512195122,113.03658536585365,1.9,1.05,4.3
Minnesota Timberwolves,41.02439024390244,87.58536585365853,0.4699146341463415,15.036585365853659,39.86585365853659,0.37706097560975604,25.98780487804878,47.71951219512195,0.5457560975609755,0.556560975609756,17.20731707317073,21.817073170731707,0.7896585365853658,11.073170731707316,33.24390243902439,44.31707317073171,26.121951219512194,7.975609756097561,4.951219512195122,14.463414634146341,18.26829268292683,40.47560975609756,87.96341463414635,0.46071951219512197,12.682926829268293,35.96341463414634,0.3532560975609756,27.79268292682927,52.0,0.5363536585365853,0.5329756097560976,15.658536585365853,20.414634146341463,0.7669024390243901,11.048780487804878,31.841463414634145,42.890243902439025,24.78048780487805,8.378048780487806,4.487804878048781,14.695121951219512,19.158536585365855,49.0,33.0,114.29268292682927,109.29268292682927,3.1,4.09,3.4
New Orleans Pelicans,40.63414634146341,89.85365853658537,0.4524634146341463,12.024390243902438,34.6219512195122,0.3448536585365854,28.609756097560975,55.23170731707317,0.5193902439024389,0.5193902439024389,16.536585365853657,21.9390243902439,0.7516829268292684,12.109756097560975,31.5,43.609756097560975,25.841463414634145,8.548780487804878,5.2317073170731705,14.646341463414634,18.28048780487805,43.71951219512195,90.47560975609755,0.48417073170731706,14.621951219512194,40.109756097560975,0.36431707317073164,29.097560975609756,50.36585365853659,0.5789024390243902,0.5652317073170732,17.195121951219512,21.878048780487806,0.7870121951219512,11.853658536585366,33.8780487804878,45.73170731707317,28.646341463414632,9.012195121951219,5.219512195121951,14.0,17.9390243902439,21.0,61.0,109.82926829268293,119.2560975609756,-7.7,-7.06,1.4
New York Knicks,43.329268292682926,89.20731707317073,0.486670731707317,12.573170731707316,34.073170731707314,0.36623170731707316,30.75609756097561,55.13414634146341,0.5583658536585365,0.5573536585365854,16.548780487804876,20.682926829268293,0.8012926829268293,10.853658536585366,31.79268292682927,42.646341463414636,27.48780487804878,8.182926829268293,3.951219512195122,13.268292682926829,17.158536585365855,41.59756097560975,87.70731707317073,0.475219512195122,13.073170731707316,35.65853658536585,0.3628780487804878,28.524390243902438,52.048780487804876,0.5490365853658536,0.5500121951219512,15.414634146341463,19.548780487804876,0.7889268292682927,10.890243902439025,30.951219512195124,41.84146341463415,25.23170731707317,7.012195121951219,4.951219512195122,14.5,18.951219512195124,51.0,31.0,115.78048780487805,111.6829268292683,4.8,3.96,2.8
